S1201_C01_001E,S1201_C01_017E,S1201_C01_018E,S1201_C01_019E,S1201_C01_020E,S1201_C01_021E,S1201_C01_022E,S1201_C01_023E,S1201_C01_024E,S1201_C01_025E,S1201_C01_026E,S1201_C02_001E,S1201_C03_001E,S1201_C04_001E,S1201_C05_001E,S1201_C06_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
4143,4068,3639,143,14,241,0,31,75,274,3410,69.2,3.2,8.5,0.3,18.9,48439113632,48,439,113632
3516,3385,2814,25,15,495,0,36,131,267,2661,67.4,2.9,7.6,0.7,21.4,48439113633,48,439,113633
4347,4213,3837,110,0,255,0,11,134,207,3696,73.8,4.0,5.0,0.2,17.0,48439113634,48,439,113634
10284,10023,7258,904,11,906,0,944,261,2269,6529,44.6,2.7,14.5,0.2,38.0,48439113703,48,439,113703
5921,5861,4802,69,179,173,0,638,60,2451,3049,36.6,3.2,21.8,2.1,36.3,48439113705,48,439,113705
4297,4231,3881,93,49,172,0,36,66,317,3600,66.8,2.9,8.6,0.5,21.2,48439113707,48,439,113707
4445,4297,3619,130,9,506,0,33,148,466,3331,61.0,7.1,8.2,0.8,22.9,48439113709,48,439,113709
3447,3365,2786,286,0,172,0,121,82,560,2347,47.9,4.9,9.8,2.4,35.0,48439113710,48,439,113710
3604,3523,3205,56,39,186,0,37,81,408,2832,49.6,4.1,17.9,1.9,26.5,48439113711,48,439,113711
4530,4486,3718,276,15,140,10,327,44,891,3052,58.3,5.6,12.1,0.1,23.8,48439113803,48,439,113803
