S0601_C01_001E,S0601_C01_011E,S0601_C01_012E,S0601_C01_013E,S0601_C01_014E,S0601_C01_015E,S0601_C01_016E,S0601_C01_017E,S0601_C01_018E,S0601_C01_019E,S0601_C01_020E,S0601_C01_021E,S0601_C01_022E,S0601_C01_023E,S0601_C01_024E,S0601_C01_025E,S0601_C01_026E,S0601_C01_027E,S0601_C01_028E,S0601_C01_034E,S0601_C01_035E,S0601_C01_036E,S0601_C01_037E,S0601_C01_038E,S0601_C01_039E,S0601_C01_040E,S0601_C01_041E,S0601_C01_042E,S0601_C01_043E,S0601_C01_044E,S0601_C01_045E,S0601_C01_046E,S0601_C01_047E,S0601_C01_048E,FIPS,STATEFP,COUNTYFP,TRACTCE
4438,52.6,47.4,96.7,87.8,7.6,0.5,0.4,0.0,0.4,3.3,12.6,75.6,4189,5.8,3.6,2.2,3646,17.0,40.5,34.4,8.9,6.8,3646,15.7,10.8,15.4,11.7,13.4,8.6,3.5,9.4,26236,4438,48001951100,48,001,951100
2305,51.7,48.3,99.4,98.0,0.3,0.0,0.0,0.0,1.1,0.6,49.5,50.0,2110,38.0,22.5,15.5,1707,17.7,24.6,32.8,13.5,11.0,1707,18.4,0.9,6.4,9.8,9.1,7.5,4.9,25.1,41843,2305,48003950100,48,003,950100
7465,48.7,51.3,95.7,82.4,1.0,0.0,0.9,0.4,11.0,4.3,53.9,42.0,6847,38.7,25.3,13.4,5886,23.4,32.9,27.0,8.7,6.1,5886,12.7,5.3,13.2,12.5,10.0,7.7,2.9,18.0,31922,7380,48003950200,48,003,950200
4889,53.6,46.4,94.3,91.6,0.8,0.0,0.0,0.0,1.9,5.7,69.5,24.0,4354,55.8,34.7,21.1,3053,30.6,39.7,16.5,6.7,0.9,3053,17.9,7.0,9.1,10.2,10.3,15.3,0.8,15.7,33575,4865,48003950300,48,003,950300
3377,51.1,48.9,100.0,95.4,0.0,0.0,0.0,0.0,4.6,0.0,47.1,52.9,3174,41.4,29.9,11.6,2627,30.7,40.8,25.3,2.3,1.2,2627,8.3,4.2,9.8,18.8,10.6,11.3,3.0,12.8,32318,3377,48003950400,48,003,950400
6346,47.1,52.9,99.8,92.8,6.7,0.2,0.1,0.0,0.0,0.2,10.3,82.5,6072,9.5,6.4,3.0,5081,30.6,36.4,27.8,11.2,6.4,5081,17.4,7.2,16.3,9.0,14.6,10.7,3.2,5.7,27979,6270,48005000101,48,005,000101
4761,47.3,52.7,99.4,93.5,3.4,0.2,1.5,0.0,0.8,0.6,8.4,85.9,4441,6.7,3.9,2.8,3492,16.6,25.2,40.4,21.1,7.4,3492,13.8,7.3,9.0,11.3,15.9,12.7,2.5,17.2,37319,4761,48005000102,48,005,000102
6677,55.7,44.3,98.8,87.1,7.4,2.4,0.0,0.0,1.9,1.2,26.6,64.8,6384,23.2,14.4,8.8,5232,24.3,33.3,31.5,9.5,4.6,5232,17.1,7.2,19.8,16.7,11.9,5.3,4.7,2.7,23980,6677,48005000200,48,005,000200
5288,48.8,51.2,98.8,78.9,17.6,1.7,0.0,0.0,0.6,1.2,14.9,66.6,4833,7.1,5.0,2.1,4277,29.0,32.7,44.5,5.8,4.9,4277,17.4,6.9,11.4,14.3,16.6,11.0,3.9,6.9,29274,5140,48005000301,48,005,000301
5218,47.7,52.3,99.7,84.4,13.4,0.0,0.7,0.0,1.2,0.3,19.8,66.4,4770,11.0,6.5,4.5,4005,26.1,27.3,38.4,12.3,9.1,4005,16.9,13.2,15.7,9.4,9.3,10.4,4.3,11.7,24543,5211,48005000302,48,005,000302
